Device ID,Device Name,M00,M01,M02,M03,M10,M11,M12,M13,M20,M21,M22,M23
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
3,Valve SR,-0.8871905207633972,-0.11046243458986282,0.44798600673675537,1.9167146682739258,0.08538436889648438,0.9148454666137695,0.3946736752986908,2.0111496448516846,-0.4534344971179962,0.38840165734291077,-0.8022104501724243,-3.0027427673339844
4,Valve SR Imp,0.8637279868125916,-0.031660325825214386,0.5029628276824951,1.8322861194610596,-0.20444506406784058,0.8901972770690918,0.4071252942085266,2.045867443084717,-0.46062585711479187,-0.4544737935066223,0.7624154686927795,2.5634756088256836
1,Valve SR Imp,-0.8376031517982483,0.016464535146951675,-0.5460315942764282,-2.1795663833618164,-0.26430806517601013,0.8625485301017761,0.43145251274108887,2.0287256240844727,0.47808241844177246,0.5057064294815063,-0.7181217074394226,-3.127700090408325
2,Valve SR Imp,0.9393614530563354,0.1206464096903801,-0.3210054039955139,-2.312976837158203,-0.01233422290533781,0.9473514556884766,0.31995803117752075,2.012018918991089,0.3427067697048187,-0.296596884727478,0.8913935422897339,2.479194164276123
